episode,game,exploration,explored,safe,MA_explored,MA_safe
273,['100+49sin((2pi/29)t)+0e'],6.4,77.5,95.2,79.9,95.2
274,['100+49sin((2pi/28)t)+0e'],6.3,87.0,95.4,79.9,95.3
275,['100+49sin((2pi/35)t)+0e'],6.2,78.9,95.8,79.9,95.4
276,['100+49sin((2pi/34)t)+0e'],6.2,95.9,95.9,80.1,95.4
277,['100+49sin((2pi/14)t)+0e'],6.1,92.1,96.2,80.4,95.4
278,['100+49sin((2pi/33)t)+0e'],6.1,83.2,92.1,80.5,95.4
279,['100+49sin((2pi/36)t)+0e'],6.0,88.7,95.4,80.6,95.4
280,['100+49sin((2pi/36)t)+0e'],5.9,89.2,94.6,80.7,95.4
281,['100+49sin((2pi/32)t)+0e'],5.9,91.0,91.6,81.0,95.4
282,['100+49sin((2pi/23)t)+0e'],5.8,75.1,95.5,81.0,95.4
283,['100+49sin((2pi/7)t)+0e'],5.8,82.2,96.5,81.4,95.4
284,['100+49sin((2pi/12)t)+0e'],5.7,94.8,96.4,81.6,95.4
285,['100+49sin((2pi/3)t)+0e'],5.6,90.6,96.1,81.7,95.4
286,['100+49sin((2pi/33)t)+0e'],5.6,94.7,92.9,81.7,95.4
287,['100+49sin((2pi/1)t)+0e'],5.5,86.4,0.0,81.8,95.4
288,['100+49sin((2pi/5)t)+0e'],5.5,88.8,96.5,81.9,95.4
289,['100+49sin((2pi/3)t)+0e'],5.4,86.9,96.1,82.0,95.4
290,['100+49sin((2pi/14)t)+0e'],5.4,84.8,96.2,82.0,95.4
291,['100+49sin((2pi/38)t)+0e'],5.3,86.2,96.0,82.1,95.4
292,['100+49sin((2pi/37)t)+0e'],5.3,84.9,90.9,82.2,95.4
293,['100+49sin((2pi/10)t)+0e'],5.2,-305.9,96.2,82.2,95.5
294,['100+49sin((2pi/20)t)+0e'],5.2,90.2,96.2,82.2,95.5
295,['100+49sin((2pi/16)t)+0e'],5.1,88.2,96.6,82.6,95.5
296,['100+49sin((2pi/13)t)+0e'],5.1,91.0,96.4,83.1,95.5
297,['100+49sin((2pi/24)t)+0e'],5.0,82.5,94.9,82.7,95.5
298,['100+49sin((2pi/9)t)+0e'],5.0,89.7,96.4,83.1,95.5
299,['100+49sin((2pi/9)t)+0e'],4.9,92.0,96.4,83.2,95.7
300,['100+49sin((2pi/17)t)+0e'],4.9,88.8,94.9,83.2,95.5
301,['100+49sin((2pi/37)t)+0e'],4.8,92.2,91.3,83.3,95.5
302,['100+49sin((2pi/18)t)+0e'],4.8,88.0,95.8,83.4,95.7
303,['100+49sin((2pi/15)t)+0e'],4.7,92.7,96.4,83.4,95.8
304,['100+49sin((2pi/34)t)+0e'],4.7,94.4,93.8,83.4,95.7
305,['100+49sin((2pi/27)t)+0e'],4.6,-239.7,96.6,83.3,95.8
306,['100+49sin((2pi/10)t)+0e'],4.6,93.7,96.2,83.4,95.8
307,['100+49sin((2pi/37)t)+0e'],4.5,82.0,94.6,83.4,95.8
308,['100+49sin((2pi/18)t)+0e'],4.5,93.6,95.8,83.6,95.8
309,['100+49sin((2pi/9)t)+0e'],4.4,89.5,96.4,83.8,95.8
310,['100+49sin((2pi/36)t)+0e'],4.4,90.5,93.7,84.1,95.8
311,['100+49sin((2pi/35)t)+0e'],4.3,92.8,95.4,84.6,95.8
312,['100+49sin((2pi/15)t)+0e'],4.3,84.1,94.2,84.6,95.8
313,['100+49sin((2pi/10)t)+0e'],4.3,91.1,96.2,84.8,95.8
314,['100+49sin((2pi/6)t)+0e'],4.2,85.5,96.1,85.1,95.8
315,['100+49sin((2pi/25)t)+0e'],4.2,91.1,95.1,85.4,95.8
316,['100+49sin((2pi/23)t)+0e'],4.1,87.8,95.1,85.7,95.8
317,['100+49sin((2pi/26)t)+0e'],4.1,86.9,96.1,85.9,95.8
318,['100+49sin((2pi/29)t)+0e'],4.1,90.3,96.6,86.1,95.9
319,['100+49sin((2pi/37)t)+0e'],4.0,87.1,93.8,86.1,95.9
320,['100+49sin((2pi/26)t)+0e'],4.0,92.0,96.1,86.2,96.0
321,['100+49sin((2pi/16)t)+0e'],3.9,-8.1,96.6,86.2,96.0
322,['100+49sin((2pi/28)t)+0e'],3.9,95.2,90.4,86.3,95.9
323,['100+49sin((2pi/1)t)+0e'],3.9,91.2,0.0,86.5,95.8
324,['100+49sin((2pi/4)t)+0e'],3.8,95.4,-6.7,86.7,95.8
